sample_id	study_accession	library_name	submitted_read1	submitted_read2	read1_md5	read2_md5
ENIV_pool_318	PRJEB111482	ENIV_pool_318_lib	ENA_submit_83_reads/318_S1_L001_R1_001.fastq.gz	ENA_submit_83_reads/318_S1_L001_R2_001.fastq.gz	d4a8746a4caac4f2f29b30a4fa076cf5	aeec766e26556f0831fe0e50c2ccdd76
ENIV_pool_641	PRJEB111482	ENIV_pool_641_lib	ENA_submit_83_reads/641_S2_L001_R1_001.fastq.gz	ENA_submit_83_reads/641_S2_L001_R2_001.fastq.gz	bf69f402d68048160d414c1f69c49e5e	18a049cde83781afb606b0ed73ce8ea2
ENIV_pool_857	PRJEB111482	ENIV_pool_857_lib	ENA_submit_83_reads/857_S3_L001_R1_001.fastq.gz	ENA_submit_83_reads/857_S3_L001_R2_001.fastq.gz	07e44c4e7660f9b6673cc4d09d0d80c4	dc75c084e55f1ddfa4f7781329cc73de
ENIV_pool_858	PRJEB111482	ENIV_pool_858_lib	ENA_submit_83_reads/858_S4_L001_R1_001.fastq.gz	ENA_submit_83_reads/858_S4_L001_R2_001.fastq.gz	3c99edc07ba269930589122a4bbf110a	9c03a9130383ef5c66633a8a222ecd20
ENIV_pool_920	PRJEB111482	ENIV_pool_920_lib	ENA_submit_83_reads/920_S5_L001_R1_001.fastq.gz	ENA_submit_83_reads/920_S5_L001_R2_001.fastq.gz	c91caac401c48eea89f9cd9e439472d8	6986156f5bee9af58edf2ca46962fed2
ENIV_pool_935	PRJEB111482	ENIV_pool_935_lib	ENA_submit_83_reads/935_S6_L001_R1_001.fastq.gz	ENA_submit_83_reads/935_S6_L001_R2_001.fastq.gz	44b9508218ab8e6c5134271964d10a75	6096daad7df2338c2eadfc330795b0d0
ENIV_pool_970	PRJEB111482	ENIV_pool_970_lib	ENA_submit_83_reads/970_S7_L001_R1_001.fastq.gz	ENA_submit_83_reads/970_S7_L001_R2_001.fastq.gz	6e0111529f4f44feef4cc5942570b175	682aea4a320edc5a6c16494cf5427ed3
ENIV_pool_1032	PRJEB111482	ENIV_pool_1032_lib	ENA_submit_83_reads/1032_S9_L001_R1_001.fastq.gz	ENA_submit_83_reads/1032_S9_L001_R2_001.fastq.gz	8a553e201b9bfb37a14c14fb3930b93f	9c508859bd683f41c1586e63f748d193
ENIV_pool_1038	PRJEB111482	ENIV_pool_1038_lib	ENA_submit_83_reads/1038_S10_L001_R1_001.fastq.gz	ENA_submit_83_reads/1038_S10_L001_R2_001.fastq.gz	b71fd71e9965e22991f2c475cfd132f5	40ae4de3eb5e8eda29ba0b19313ad51c
ENIV_pool_1039	PRJEB111482	ENIV_pool_1039_lib	ENA_submit_83_reads/1039_S11_L001_R1_001.fastq.gz	ENA_submit_83_reads/1039_S11_L001_R2_001.fastq.gz	07090304635518dbf2e42228f48c14ec	4fe4616df9bf742df26c8c32ffa8c094
ENIV_pool_1040	PRJEB111482	ENIV_pool_1040_lib	ENA_submit_83_reads/1040_S12_L001_R1_001.fastq.gz	ENA_submit_83_reads/1040_S12_L001_R2_001.fastq.gz	820c63feca78db37e5149920af6bc762	4634f3cff8cb003c17cf4027b2443666
ENIV_pool_1053	PRJEB111482	ENIV_pool_1053_lib	ENA_submit_83_reads/1053_S14_L001_R1_001.fastq.gz	ENA_submit_83_reads/1053_S14_L001_R2_001.fastq.gz	c85c632805ef77dd29c9dbfb1a3e2d21	3f81ec5ff0be30e3d8fc9454e2900577
ENIV_pool_1054	PRJEB111482	ENIV_pool_1054_lib	ENA_submit_83_reads/1054_S15_L001_R1_001.fastq.gz	ENA_submit_83_reads/1054_S15_L001_R2_001.fastq.gz	fcd41579aacad1aa363b7070c62630a3	38cf9ac6ce264ba6ed5cc71280cb3903
ENIV_pool_1061	PRJEB111482	ENIV_pool_1061_lib	ENA_submit_83_reads/1061_S16_L001_R1_001.fastq.gz	ENA_submit_83_reads/1061_S16_L001_R2_001.fastq.gz	249f588e3e8b2854cc94796d3645029a	7a41e1db0951f1b50db94c1c9ed2e05e
ENIV_pool_1062	PRJEB111482	ENIV_pool_1062_lib	ENA_submit_83_reads/1062_S17_L001_R1_001.fastq.gz	ENA_submit_83_reads/1062_S17_L001_R2_001.fastq.gz	fe3e44b1d73c771fe5562f1699aee0d7	10022188929e9accef08ab40524a202e
